City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,"FIRST FLOOR (FF), A102, Express Avenue, No:2, Club House Road, Mount Road, Chennai - 600002",13.0584546,80.2641844,600002,,,FALSE,
,,,,,,,,,,
,Central,3,"No 190, Nsc Bose Road, Parrys, Chennai - 600001 (Opposite Bus Stand)",13.0883945,80.283264,600001,,,FALSE,
,,,"73, Strahans Rd, Dadashamakan, Purasaiwakkam, Chennai, Tamil Nadu 600012",13.0975294,80.2543602,600012,,,FALSE,
,,,"No.244, Trunk Road, Poonamallee, Chennai - 600056 (Opp govt hospital)",13.0508915,80.0948303,600056,,,FALSE,
,Accessorize,3,"No 49 & 50 Express Avenue Mall 1st Floor Shop No 104 B, Whites Road, Royapettah, Chennai - 600014 (Near Coffee Day)",13.0584546,80.2641844,600014,,,TRUE,
,,,"Ground Floor 12, Phoenix Mall, No, 142 Velachery Main Road, Velacheri, Chennai - 600042 (near gurunanak college)",12.9913026,80.2166199,600042,,,TRUE,
,,,"No 47B, Ground Floor, V R Chennai Mall, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040",13.0805465,80.197132,600040,,,TRUE,
,,,,,,,,,,
,Adidas,,"No 36 Dwaraka, Uthamar Gandhi Salai  High Road, Nungambakkam, Chennai - 600034 (Opposite Ganpat Hotel Near HDFC Bank)",13.0618828,80.2451634,600034,,,FALSE,
,,,"No C32, 2nd Avenue, Anna Nagar, Chennai - 600040 (Near Santhosh Super Stores)",13.0849031,80.2059474,600040,,,FALSE,
,,,"No D 94, 5th Avenue, Anna Nagar East, Chennai - 600102 (Opposite Buhari Hotel)",13.0839947,80.2245691,600102,,,FALSE,
,,,"No 49 & 50 L, Express Avenue Mall, 2nd Floor, No S 263, Whites Road, Royapettah, Chennai - 600014 (Near Royapettah Clock Tower)",13.0584546,80.2641844,600014,,,TRUE,
,,,"No 65 K G Complex Ground Floor, Ttk Road, Alwarpet, Chennai - 600018 (Opposite Sankara Hall)",13.0427264,80.2592849,600018,,,FALSE,
,,,"No 4, Ground Floor, Arcot Road, Porur, Chennai - 600116 (Near Sathya Showroom)",13.0383811,80.1629278,600116,,,FALSE,
,,,"No 73 Ground Floor, Casa Major Road, Egmore, Chennai - 600008 (Opposite Palimar Restaurant)",13.0725511,80.2521933,600008,,,FALSE,
,,,"No 158, Redhills Road, Ambattur, Chennai - 600053 (Oragadam)",13.1238202,80.150398,600053,,,FALSE,
,,,"Old No 195, New  No 5, Medavakkam Main Road, Adambakkam, Chennai - 600088 (Near Heritage Mart)",12.982551,80.1962274,600088,,,FALSE,
,,,"No 109, 100 Feet Road, Sankaran Avenue, Velacheri, Chennai - 600042 (Opposite Sangeetha Hotel, Near Titan Showroom)",12.9809388,80.2182213,600042,,,FALSE,
,,,"C/o The Forum Vijaya Mall, No 183, 2nd Floor, Shop No 223, Unit No 22, NSK Salai, Arcot Road, Vadapalani, Chennai - 600026 (Opposite Kamala Theatre)",13.0498937,80.2095018,600026,,,TRUE,
,,,"No 1 Tri Max Tower, Subraya Avenue, CP Ramaswamy Road, Alwarpet, Chennai - 600018 (Near Indian Bank)",13.0357093,80.2564346,600018,,,FALSE,
,,,"C/o Phoenix Market City, No 142, Upper Ground Floor, UG 05, Velachery Main Road, Velacheri, Chennai - 600042 (Near Guru Nanak College)",12.9905058,80.2169764,600042,,,FALSE,
,,,"No 1, Ampa Sky Walk, Shop No 121, Nelson Manickam Road, Aminjikarai, Chennai - 600030 (Near Old Arun Hotel)",13.0734711,80.2214432,600030,,,FALSE,
,,,"No:202  Anirudha Apartments, Velachery Main Road, Camp Road, Selaiyur, Chennai - 600073 (Opposite Viveks Showroom)",12.9220804,80.1415555,600073,,,FALSE,
,,,"Shop No 769, Spencer Plaza, Complex Shop No F 72 2nd Phase 1st Floor, Mount Road, Chennai - 600002 (Near World Of Titan, Anna Salai)",13.0615102,80.2614606,600002,,,FALSE,
